date,description,amount,category
2025-12-10,APPLE.COM/BILL,-6.77,Subscriptions
2025-12-10,DREW'S YIG 7924,-29.14,Groceries
2025-12-12,Amazon.ca purchase,-15.48,Shopping
2025-12-14,Amazon.ca Prime Member,-5.64,Subscriptions
2025-12-16,UCC LOWER STARBUCKS,-4.15,Coffee
2025-12-18,THE SPOKE,-8.46,Dining
2025-12-19,DREW'S YIG 7924,-23.68,Groceries
2025-12-20,PLAZA SUSHI LONDON,-17.52,Dining
2025-12-20,FLEETWAY,-6.95,Entertainment
2025-12-28,NO FRILLS ROCKY'S #718,-2.26,Groceries
2025-12-29,SCOTIABANK TRANSIT PAYMENT,-250.40,Payment
2025-12-29,AMZN Mktp CA purchase,-11.29,Shopping
2026-01-01,START CA,-67.80,Subscriptions
2026-01-02,Uniqlo Canada Inc.,-16.84,Clothing
2026-01-02,Uniqlo Canada Inc.,-56.16,Clothing
2026-01-02,MEAN BAO TORONTO,-11.30,Dining
2026-01-02,THE GREAT CANADIAN SOX CO,-12.66,Clothing
2026-01-02,SQ *CRAIG'S COOKIES,-3.82,Coffee
2026-01-04,DD/DOORDASH FOOD BASICS,-1.14,Groceries
2026-01-05,DD/DOORDASH FOOD BASICS,-48.82,Groceries
2026-01-06,PAYMENT FROM ACCOUNT,-150.00,Payment
2026-01-10,APPLE.COM/BILL,-6.77,Subscriptions
2026-01-12,SQ *ZEN'ZA PIZZERIA,-17.40,Dining
2026-01-13,Amazon.ca purchase,-11.39,Shopping
2026-01-13,REGISTRAR - WESTERN,-30.00,Education
2026-01-14,Amazon.ca Prime Member,-5.64,Subscriptions
2026-01-14,WESTERN LIBRARIES,-6.00,Education
2026-01-16,SQ *DELIGHT COFFEE & DES,-11.30,Coffee
2026-01-16,LCBO/RAO #0026,-26.95,Alcohol
2026-01-17,IC* INSTACART,-119.23,Groceries
2026-01-20,LUCY'S,-11.30,Dining
2026-01-22,CENTRE SPOT,-10.64,Dining
2026-01-22,GROCERY CHECKOUT,-6.98,Groceries
2026-01-26,AMMU KITCHEN,-11.57,Dining
2026-01-29,SCOTIABANK TRANSIT PAYMENT,-199.88,Payment
2026-02-01,START CA,-67.80,Subscriptions
2026-02-03,SQ *ZACKCERAMIC,-9.00,Shopping
2026-02-03,IC* INSTACART,-11.33,Groceries
2026-02-03,IC* INSTACART,-47.67,Groceries
2026-02-04,PAYMENT FROM ACCOUNT,-250.00,Payment
2026-02-04,Amazon.ca purchase,-15.80,Shopping
2026-02-08,PAYMENT FROM ACCOUNT,-26.77,Payment
2026-02-09,NATURAL TIM'S,-1.92,Coffee
2026-02-10,WINNERS 215,-33.88,Clothing
2026-02-10,PIZZA PIZZA #413,-18.80,Dining
2026-02-10,APPLE.COM/BILL,-6.77,Subscriptions
2026-02-13,BOMBAY SPICES,-22.59,Dining
2026-02-13,CHUCKS ROADHOUSE BAR & GRILL,-2.30,Dining
2026-02-14,Amazon.ca Prime Member,-5.64,Subscriptions
2026-02-14,MCCABES IRISH PUB,-6.25,Alcohol
2026-02-14,MCDONALD'S #29156,-23.26,Fast Food
2026-02-15,SQ *CRAIG'S COOKIES,-7.63,Coffee
2026-02-16,T&T SUPERMARKET #037,-23.83,Groceries
2026-02-18,MR. PRETZELS MASONVILLE,-6.20,Dining
2026-02-18,MARSHALLS/HOMESENSE,19.20,Refund
2026-02-18,LCBO/RAO #0393,-27.95,Alcohol
2026-02-20,Amazon.ca purchase,-6.47,Shopping
2026-02-24,Amazon.ca purchase,-12.82,Shopping
2026-03-01,START CA,-67.80,Subscriptions
2026-03-02,SCOTIABANK TRANSIT PAYMENT,-150.00,Payment
2026-03-02,NATURAL TIM'S,-0.21,Coffee
2026-03-03,FLEETWAY,-15.54,Entertainment
2026-03-06,AMZN Mktp CA purchase,-23.72,Shopping
2026-03-09,SUBWAY,-7.10,Fast Food
2026-03-10,SQ *CRAIG'S COOKIES,-3.96,Coffee
2026-03-10,APPLE.COM/BILL,-6.77,Subscriptions
2026-03-10,HORTON COMMUNITY STORE,-28.50,Groceries
2026-03-14,Amazon.ca Prime Member,-5.64,Subscriptions
2026-03-14,LYFT *RIDE,-7.62,Transport
2026-03-14,IC* INSTACART,-68.80,Groceries
2026-03-16,IC* INSTACART,-2.05,Groceries
2026-03-18,PIZZA PIZZA #401,-19.03,Dining
2026-03-19,DAIRY QUEEN #12272,-1.05,Fast Food
2026-03-19,JOURNEYS #835044,-28.80,Clothing
2026-03-20,LANDMARK WEB TICKETING,-71.18,Entertainment
2026-03-20,DOLLARAMA # 893,-1.70,Shopping
2026-03-20,DOLLARAMA # 893,-20.91,Shopping
2026-03-22,GAP.COM,-68.47,Clothing
2026-03-25,GAP.COM,-37.29,Clothing
2026-03-27,FOOD BASICS 857,-36.87,Groceries
2026-03-28,GAP.COM,37.78,Refund
2026-03-30,SCOTIABANK TRANSIT PAYMENT,-294.38,Payment
2026-03-30,DOLLARAMA #1301,-5.37,Shopping
2026-03-30,HORTON COMMUNITY STORE,-5.29,Groceries
2026-03-30,VALUE VILLAGE #2156,-12.42,Clothing
2026-04-01,START CA,-67.80,Subscriptions
2026-04-03,ELLIE'S PIZZERIA,-9.01,Dining
2026-04-04,TST-Merla-Mae Ice Cream,-14.63,Dining
2026-04-04,GAP.COM,30.69,Refund
2026-04-04,PAYMENT FROM ACCOUNT,-311.05,Payment
2026-04-05,PAYMENT FROM ACCOUNT,-0.74,Payment
2026-04-10,APPLE.COM/BILL,-6.77,Subscriptions
2026-04-11,WAL-MART SUPERCENTER,-10.15,Groceries
2026-04-11,WAL-MART SUPERCENTER,-12.57,Groceries
2026-04-14,Amazon.ca Prime Member,-5.64,Subscriptions
2026-04-14,LUCY'S,-24.86,Dining
2026-04-14,BURTS BAR & GRILL,-5.92,Alcohol
2026-04-15,THE SPOKE,-6.20,Dining
2026-04-16,SOCIAL ENCOUNTERS,-3.03,Dining
2026-04-18,McDonalds 29156,-10.16,Fast Food
2026-04-19,THE SPOKE,-5.27,Dining
2026-04-22,ELLIE'S PIZZERIA,-5.01,Dining
2026-04-22,FOOD BASICS 857,-25.32,Groceries
2026-04-26,BEERLAB,-47.46,Alcohol
2026-04-26,SQ *DISTRICT ICE CREAM,-5.08,Dining
2026-04-27,7-ELEVEN STORE #29274,-33.55,Groceries
2026-04-27,7-ELEVEN STORE #29274,-0.28,Groceries
2026-04-27,MCDONALD'S #29156,-2.40,Fast Food
2026-04-27,HI-YA MINI MART,-14.99,Groceries
2026-04-27,HI-YA MINI MART,-3.91,Groceries
2026-04-28,SQ *DISTRICT ICE CREAM,-5.08,Dining
2026-04-28,HI-YA MINI MART,-19.09,Groceries
2026-04-29,AMZN Mktp CA purchase,-6.70,Shopping
2026-04-29,SCOTIABANK TRANSIT PAYMENT,-150.00,Payment
2026-04-20,CASHBACK WELCOME BONUS,47.94,Cashback
2026-05-02,Dynamite,-158.26,Clothing
2026-05-03,Dynamite,158.15,Refund
2026-05-03,Amazon.ca purchase,-11.30,Shopping
2026-05-04,AMZN Mktp CA purchase,-19.20,Shopping
2026-05-04,AMZN Mktp CA purchase,-3.39,Shopping
2026-05-04,NOFRILLS DANIEL,-15.01,Groceries
2026-05-05,PAYMENT FROM ACCOUNT,-110.51,Payment
2026-05-06,TICKETMASTER CANADA,-398.50,Entertainment
